longitude,latitude,id,group,type,name
-73.9122852,40.7000155,5567734740,2501,supermarket,Armandos Grocery & Bakery
-73.6403689,40.7410724,5567870983,2303,cafe,Mineola Eats
-73.7492673,42.6752607,5567894352,2302,fast_food,I Love NY Pizza
-73.9136,40.6991019,5568294654,2516,butcher,Kikiriki Live Poultry Inc
-73.8632298,40.8459809,5569108797,2501,supermarket,Pioneer
-73.9147298,40.6990461,5569415091,2501,supermarket,Morelos Grocery
-73.9153358,40.6992504,5569428212,2302,fast_food,Taqueria Izucar
-73.9480375,40.7832735,5573636404,2303,cafe,Yorkville Bagel & Cafe
-74.0282866,40.6306365,5574466299,2303,cafe,Matter
-74.0077637,40.651416,5574466300,2303,cafe,Slimāk
-73.8796341,40.7251285,5574814749,2501,supermarket,Met
-73.9502513,40.7865855,5577592712,2302,fast_food,Taco Bell
-73.7688009,43.123241,5578531961,2302,fast_food,Dunkin' Donuts
-73.984168,40.7530165,5578984004,2303,cafe,Blue Bottle Coffee
-73.8972187,40.8672738,5580263983,2302,fast_food,Dunkin'
-73.9159629,40.7024491,5580552209,2501,supermarket,La Plasita Ecuatariana
-73.9992106,40.6103494,5581609453,2501,supermarket,Frank and Sal Italian Market
-73.9976018,40.6119862,5581609454,2516,butcher,Tribuzio Meat Market
-73.9882067,40.7008283,5585248522,2303,cafe,Bluestone Lane
-73.9873956,40.7216695,5585374466,2303,cafe,Ludlow Coffee Supply
-73.9869538,40.7038562,5585532432,2303,cafe,Design Cafe Usagi
-73.8632298,40.8824122,5588227398,2501,supermarket,Food Town
-73.9912776,40.6182886,5589228321,2501,supermarket,C-Town
-73.7261163,40.7869261,5589504604,2303,cafe,ViVi Bubble Tea
-73.9923561,40.6171934,5593246274,2302,fast_food,Subway
-73.9465526,40.711573,5594567813,2501,supermarket,Associated Supermarket
-73.9461355,40.7116056,5594917737,2528,greengrocer,To The World Farm
-73.9774986,40.6720276,5596917758,2303,cafe,Starbucks
-73.9174318,40.703584,5597395539,2303,cafe,C M Coffee Shop
-73.9326645,40.6836705,5597414426,2303,cafe,Georges-andres
-73.8693224,40.7086912,5597414492,2303,cafe,Starbucks
-73.7739221,40.6601028,5597818344,2302,fast_food,McDonald's
-73.7936576,40.7385402,5597848118,2302,fast_food,Arby's
-73.8880348,40.8552039,5598581386,2501,supermarket,Modern Market
-73.8857174,40.8540559,5598584654,2501,supermarket,C-Town
-73.8967896,40.8674133,5598603611,2501,supermarket,Morton Williams
-73.9484523,40.7827156,5599264049,2303,cafe,Starbucks
-73.985265,40.7628613,5599496976,2303,cafe,Bibble & Sip
-73.9692378,40.7908664,5599500370,2501,supermarket,Trader Joe's
-73.9399409,40.6918082,5600182561,2303,cafe,Fermento
-73.9557871,40.6907527,5600183533,2303,cafe,Brooklyn Kolache
-73.9503372,40.685666,5600185436,2501,supermarket,KeyFood
-73.9512062,40.6892619,5600185437,2303,cafe,Civil Service Cafe
-73.9547153,40.6865989,5600185466,2303,cafe,Playground Coffee Shop
-73.9237082,40.6871793,5600190029,2303,cafe,Cafe on Ralph
-73.8920175,40.7600992,5600531631,2303,cafe,Cannelle Patisserie
-73.9798682,40.6775265,5600702495,2302,fast_food,L'Arte della Pizza
-76.2264411,43.1368562,5600886920,2303,cafe,Starbucks
-73.822062,40.7867898,5601037419,2303,cafe,The Stonebridge
-76.2310774,43.1473191,5603178187,2302,fast_food,Domino's Pizza
-76.2291199,43.1528018,5603178256,2302,fast_food,Subway
-73.8865113,40.8588195,5603194563,2302,fast_food,White Castle
-73.9790922,40.7282563,5603368243,2302,fast_food,Santa Barbara Deli
-73.9814002,40.7292335,5603534984,2303,cafe,Boris and Horton
-73.9831737,40.7268161,5603563258,2303,cafe,Starbucks
-73.9826397,40.714915,5604018198,2501,supermarket,East Side Glatt
